プラン,月額料金,契約月数,直近30日ログイン日数,月間視聴時間,サポート問合せ回数,値上げ経験,解約
スタンダード,990,15,10,3.0,0,1,1
プレミアム,1980,31,4,14.0,2,0,0
プレミアム,1980,5,16,37.4,1,0,0
ライト,790,3,12,26.9,1,0,0
スタンダード,1480,11,27,70.3,2,0,0
ライト,790,10,14,11.0,1,0,0
ライト,490,16,0,4.7,0,0,0
スタンダード,1480,13,0,2.3,1,0,1
スタンダード,990,2,8,11.1,2,0,1
ライト,790,13,22,19.1,1,0,0
プレミアム,1980,6,2,5.5,0,0,0
スタンダード,1480,9,12,20.0,0,1,0
スタンダード,1480,10,12,22.8,3,1,0
ライト,490,19,30,27.4,0,0,0
ライト,790,20,14,21.7,1,0,0
ライト,490,2,22,31.7,1,1,0
ライト,490,20,12,30.2,1,0,0
プレミアム,1980,8,24,38.6,1,0,0
プレミアム,1980,13,9,3.6,1,1,0
プレミアム,1980,6,18,15.0,0,0,0
ライト,490,8,0,2.9,1,0,1
プレミアム,1980,10,12,18.6,2,0,0
スタンダード,1480,6,16,29.5,0,0,0
スタンダード,1480,13,13,7.8,0,0,0
ライト,490,14,0,2.1,1,0,1
ライト,790,1,11,14.5,2,0,1
スタンダード,1480,19,13,9.7,2,1,1
スタンダード,990,11,19,58.1,0,0,0
プレミアム,1980,18,7,10.2,0,0,1
プレミアム,1980,4,7,11.3,2,1,0
プレミアム,1980,17,6,8.1,0,0,1
ライト,790,24,3,4.5,0,0,0
スタンダード,1480,28,24,40.8,1,1,0
ライト,790,10,22,38.8,2,0,0
ライト,790,23,12,25.7,3,0,0
ライト,790,24,0,0.0,2,1,1
プレミアム,1980,5,17,24.6,2,1,1
ライト,790,7,11,30.3,2,0,0
ライト,790,14,16,32.5,0,0,0
ライト,490,27,18,45.5,2,0,0
プレミアム,1980,14,30,46.2,1,0,0
スタンダード,1480,20,9,16.9,1,0,0
スタンダード,990,10,10,14.0,1,1,0
ライト,790,10,27,47.9,1,0,0
ライト,490,13,10,1.5,1,1,0
スタンダード,1480,10,13,11.0,2,1,1
プレミアム,1980,4,0,7.6,1,0,1
スタンダード,1480,16,17,53.7,1,1,0
スタンダード,990,17,2,10.8,0,0,0
スタンダード,990,7,16,23.6,0,0,0
スタンダード,990,24,12,29.0,2,1,0
スタンダード,1480,17,10,3.9,2,0,1
スタンダード,1480,19,10,21.2,0,1,0
ライト,490,13,4,17.4,2,0,0
スタンダード,1480,19,8,20.6,1,0,0
スタンダード,1480,15,22,51.6,0,0,0
スタンダード,1480,6,11,17.4,0,1,0
スタンダード,990,4,5,14.6,1,0,0
ライト,490,5,20,22.1,1,0,0
ライト,790,8,28,51.9,1,1,0
ライト,790,18,13,19.8,2,1,0
スタンダード,1480,5,6,5.5,3,1,1
スタンダード,990,8,6,14.0,1,0,0
ライト,490,15,12,32.6,3,0,0
プレミアム,1980,10,11,18.1,0,0,0
スタンダード,990,2,24,45.2,1,1,0
ライト,490,7,22,30.0,1,0,0
プレミアム,1980,15,11,26.5,1,1,0
スタンダード,990,3,14,11.6,1,0,0
ライト,790,9,10,16.2,0,1,0
プレミアム,1980,18,10,26.1,3,1,1
スタンダード,1480,16,4,8.7,1,0,0
ライト,790,13,30,67.6,2,0,0
ライト,490,34,0,0.0,0,0,0
スタンダード,1480,1,21,38.9,1,0,0
ライト,490,10,15,25.8,0,0,0
プレミアム,1980,14,12,20.5,2,0,0
スタンダード,990,9,1,5.6,0,0,1
ライト,790,17,15,47.1,1,1,0
スタンダード,1480,2,18,40.7,0,1,0
スタンダード,990,27,8,0.0,0,0,1
ライト,790,18,4,6.8,0,0,0
ライト,790,24,1,4.0,2,1,0
スタンダード,990,20,3,5.9,2,1,0
スタンダード,1480,3,23,12.4,1,1,0
ライト,790,5,0,2.8,1,0,0
ライト,790,2,13,25.2,3,0,0
ライト,490,2,13,24.2,3,0,0
スタンダード,1480,8,5,12.2,1,1,1
スタンダード,1480,7,16,34.3,1,0,0
スタンダード,990,2,4,6.7,0,1,1
プレミアム,1980,5,2,0.0,1,0,1
ライト,490,11,0,3.9,3,1,1
スタンダード,990,6,5,16.7,0,1,0
スタンダード,1480,32,12,30.2,2,0,1
スタンダード,990,9,3,7.9,2,1,1
ライト,790,11,26,51.6,2,0,0
プレミアム,1980,3,24,60.2,0,0,0
プレミアム,1980,28,14,26.6,0,1,0
スタンダード,1480,22,7,12.6,1,1,1
スタンダード,1480,33,7,10.8,0,0,0
ライト,490,5,0,1.9,2,0,1
スタンダード,990,18,25,83.9,1,0,0
スタンダード,990,28,14,38.5,1,0,0
プレミアム,1980,5,3,8.2,0,1,0
スタンダード,990,11,22,29.9,2,0,0
プレミアム,1980,17,10,28.4,2,1,1
ライト,790,18,3,12.0,1,0,0
ライト,790,14,25,35.7,1,0,0
スタンダード,1480,8,27,61.7,2,0,0
プレミアム,1980,28,4,0.0,1,0,1
プレミアム,1980,34,16,54.1,0,0,0
スタンダード,1480,24,17,29.4,1,1,0
ライト,790,10,12,18.4,1,0,0
プレミアム,1980,16,14,33.6,1,0,0
スタンダード,990,13,21,27.6,1,0,0
ライト,490,2,13,19.1,0,1,0
ライト,790,13,14,19.2,1,0,0
プレミアム,1980,11,4,11.1,1,0,0
ライト,490,11,6,10.3,2,1,0
プレミアム,1980,32,6,12.4,1,1,1
ライト,790,18,22,56.0,2,0,0
ライト,490,3,12,9.2,2,0,0
スタンダード,1480,11,9,18.7,0,1,0
ライト,790,20,17,20.9,2,0,0
スタンダード,1480,28,8,24.6,1,1,0
ライト,790,2,20,33.7,0,0,0
スタンダード,1480,9,20,38.3,1,1,0
スタンダード,990,9,18,47.6,1,0,0
プレミアム,1980,16,17,45.2,1,0,0
プレミアム,1980,21,14,26.8,0,0,0
プレミアム,1980,12,17,42.1,2,1,1
プレミアム,1980,1,27,40.5,1,1,0
スタンダード,990,4,21,42.8,1,1,0
ライト,490,23,14,29.0,0,0,0
ライト,490,4,12,19.6,0,0,0
ライト,790,8,21,36.0,0,0,0
ライト,490,7,14,30.2,1,0,0
ライト,490,3,18,9.2,2,0,0
スタンダード,990,2,16,28.8,2,0,0
ライト,790,8,15,29.6,1,0,0
プレミアム,1980,22,13,21.5,2,0,0
スタンダード,990,4,14,0.0,0,0,0
ライト,790,27,11,29.4,1,0,0
プレミアム,1980,12,14,51.1,1,1,0
ライト,490,7,16,4.6,3,0,0
ライト,790,32,16,23.1,2,0,0
プレミアム,1980,15,28,63.9,2,0,0
スタンダード,990,15,22,25.1,0,0,0
スタンダード,1480,29,9,24.1,2,0,0
スタンダード,990,20,12,14.8,1,0,0
ライト,790,4,20,32.1,2,1,1
ライト,790,17,26,20.2,1,1,0
ライト,490,40,26,65.6,0,0,0
ライト,790,6,19,19.5,1,0,0
スタンダード,990,17,18,25.0,2,1,0
スタンダード,990,12,21,75.4,1,1,0
ライト,490,12,13,20.4,1,1,0
ライト,790,30,15,50.0,0,0,0
プレミアム,1980,1,8,12.2,1,1,1
スタンダード,990,3,19,41.7,1,1,0
ライト,490,11,14,25.3,0,1,0
スタンダード,990,3,13,28.0,1,0,0
スタンダード,1480,33,15,26.6,0,1,0
ライト,790,14,21,18.5,1,1,0
プレミアム,1980,13,14,27.2,2,0,0
ライト,490,1,16,25.6,1,0,0
スタンダード,990,3,7,25.2,2,1,0
ライト,490,6,8,12.9,2,0,1
スタンダード,990,21,10,8.5,4,1,0
スタンダード,990,20,30,99.5,0,1,0
ライト,790,20,23,53.1,1,0,0
ライト,790,15,28,27.0,0,1,0
スタンダード,1480,5,23,12.5,1,0,0
ライト,790,14,0,0.0,1,0,1
ライト,790,18,18,26.7,3,0,0
プレミアム,1980,14,10,11.6,2,1,0
プレミアム,1980,13,22,15.4,2,0,0
ライト,790,19,15,28.0,1,1,0
ライト,490,12,0,3.3,3,0,1
プレミアム,1980,37,2,2.1,0,0,0
スタンダード,1480,6,7,11.6,0,1,1
スタンダード,1480,18,10,6.1,0,0,0
ライト,790,7,0,0.5,3,1,1
ライト,490,9,17,12.6,1,0,0
プレミアム,1980,18,15,29.9,1,1,0
ライト,490,9,1,2.9,1,1,1
プレミアム,1980,16,6,13.6,1,0,1
ライト,790,26,10,23.0,2,0,0
ライト,790,9,19,36.2,1,0,0
ライト,490,17,10,22.5,2,1,0
ライト,490,11,17,34.7,1,0,0
プレミアム,1980,3,7,11.4,0,1,0
スタンダード,1480,22,0,0.0,0,0,1
ライト,790,21,14,10.6,1,0,0
スタンダード,1480,6,9,13.9,1,0,0
スタンダード,1480,14,15,13.6,3,0,0
プレミアム,1980,27,15,37.0,2,0,0
ライト,790,6,17,30.1,2,0,0
ライト,790,3,4,8.7,0,1,1
スタンダード,1480,26,10,27.9,2,0,0
ライト,490,18,11,26.0,0,1,0
スタンダード,1480,11,22,43.9,2,0,0
スタンダード,990,30,0,6.3,0,0,1
プレミアム,1980,3,21,34.3,1,1,0
ライト,490,4,19,33.5,0,0,0
プレミアム,1980,24,19,13.3,0,0,0
ライト,790,4,0,8.4,0,0,0
プレミアム,1980,12,0,0.0,2,0,1
ライト,790,4,12,20.2,4,1,1
スタンダード,990,18,6,16.9,0,0,0
ライト,790,28,0,4.8,1,0,1
ライト,490,2,11,17.9,0,0,0
スタンダード,990,24,24,70.6,1,0,0
スタンダード,1480,3,10,34.4,1,0,0
スタンダード,1480,3,2,2.5,2,0,1
プレミアム,1980,28,14,32.6,0,0,0
スタンダード,990,5,0,2.3,0,1,1
プレミアム,1980,10,9,16.9,1,0,1
スタンダード,990,24,12,27.2,0,0,0
スタンダード,990,11,16,38.3,1,0,0
プレミアム,1980,15,8,22.9,1,1,0
スタンダード,990,11,15,27.5,1,0,0
ライト,790,9,9,31.0,0,0,0
ライト,790,10,0,5.4,2,0,1
スタンダード,990,15,10,5.5,1,0,1
ライト,490,2,12,19.4,1,0,0
ライト,790,6,18,34.6,1,1,0
ライト,490,2,4,3.4,1,0,0
プレミアム,1980,2,10,26.7,3,0,0
ライト,490,10,9,16.3,1,0,0
スタンダード,1480,11,12,16.1,0,0,1
スタンダード,1480,10,22,45.7,2,1,0
スタンダード,990,1,13,19.1,1,0,0
スタンダード,990,21,9,19.2,2,1,1
スタンダード,1480,27,10,27.8,0,1,0
プレミアム,1980,3,10,18.9,0,0,1
プレミアム,1980,12,0,1.1,0,0,0
スタンダード,1480,12,12,26.0,1,0,0
プレミアム,1980,23,4,4.6,1,1,1
スタンダード,1480,22,15,19.7,0,1,0
スタンダード,990,1,19,42.0,1,0,0
ライト,790,24,22,13.4,0,0,0
プレミアム,1980,13,2,10.1,1,0,0
スタンダード,990,7,17,27.0,2,1,1
プレミアム,1980,21,8,13.1,0,0,0
スタンダード,1480,27,1,3.6,1,0,0
プレミアム,1980,5,12,8.3,0,0,0
ライト,790,17,18,48.5,1,1,0
スタンダード,1480,4,12,29.7,0,0,0
スタンダード,1480,3,15,28.4,1,0,0
ライト,490,3,30,52.4,1,0,0
ライト,790,18,19,10.5,0,1,0
プレミアム,1980,13,3,14.4,1,0,1
ライト,490,2,10,23.2,1,0,0
ライト,790,4,30,49.6,0,0,0
ライト,490,11,19,34.1,1,0,0
プレミアム,1980,5,17,50.9,0,1,0
プレミアム,1980,16,0,0.0,0,1,1
ライト,790,11,13,8.5,2,0,0
プレミアム,1980,13,1,6.1,2,0,0
スタンダード,990,17,0,1.4,0,0,0
ライト,490,3,8,8.4,1,0,0
ライト,490,29,30,29.0,2,1,0
ライト,790,13,6,16.2,0,0,0
プレミアム,1980,4,23,22.8,1,0,0
スタンダード,990,3,14,25.6,1,1,0
スタンダード,990,14,23,29.1,0,0,0
ライト,490,19,10,22.8,2,0,0
スタンダード,990,11,17,46.2,1,0,0
ライト,790,18,14,23.9,0,0,0
スタンダード,990,16,16,44.3,0,1,1
ライト,790,12,3,13.5,0,1,0
ライト,490,29,4,15.0,1,1,0
ライト,790,6,5,17.3,1,1,1
プレミアム,1980,24,7,21.7,0,0,0
スタンダード,990,12,24,32.3,1,0,0
ライト,490,19,5,3.2,0,1,0
スタンダード,990,29,15,43.9,2,0,0
スタンダード,1480,9,8,23.1,0,1,0
ライト,490,8,13,20.4,3,0,1
ライト,490,6,4,11.8,1,1,0
プレミアム,1980,14,19,48.0,0,0,0
スタンダード,990,18,13,19.6,1,1,1
プレミアム,1980,2,20,24.5,2,0,0
スタンダード,990,13,13,12.3,1,0,1
ライト,490,4,20,92.0,1,0,0
プレミアム,1980,10,16,30.7,2,0,0
ライト,490,15,24,48.8,1,0,0
ライト,790,16,3,11.0,1,1,0
ライト,790,1,13,40.6,1,0,0
ライト,790,12,15,15.0,0,0,0
ライト,790,8,22,45.2,2,0,0
スタンダード,990,32,13,27.5,2,0,1
スタンダード,990,18,14,38.3,1,1,0
ライト,790,23,19,30.8,2,0,0
スタンダード,1480,29,23,57.0,0,0,0
プレミアム,1980,29,9,21.6,1,0,1
ライト,490,24,15,27.1,2,0,0
スタンダード,1480,11,21,36.9,3,1,0
プレミアム,1980,19,12,34.1,1,1,1
プレミアム,1980,32,14,25.4,1,0,0
ライト,490,21,22,52.8,1,1,0
スタンダード,990,17,5,14.6,0,0,0
スタンダード,1480,12,17,47.6,1,1,0
スタンダード,990,22,14,30.5,2,0,0
スタンダード,990,12,12,17.4,0,0,0
スタンダード,1480,2,19,34.6,1,0,0
プレミアム,1980,8,15,31.2,3,0,0
ライト,490,23,23,31.1,1,0,0
スタンダード,1480,8,9,9.5,1,1,1
スタンダード,990,3,9,9.8,1,0,0
ライト,790,43,17,20.7,0,0,0
スタンダード,990,9,22,61.4,2,0,0
スタンダード,990,13,4,2.3,1,1,0
スタンダード,990,2,30,0.7,1,1,0
ライト,790,13,20,13.3,3,0,0
ライト,790,15,19,30.3,1,0,0
プレミアム,1980,3,11,21.7,2,0,1
プレミアム,1980,18,5,24.6,1,0,0
スタンダード,1480,11,13,26.5,0,0,0
スタンダード,990,6,2,7.3,1,0,1
スタンダード,990,2,0,3.7,2,1,1
プレミアム,1980,13,17,35.6,1,0,1
プレミアム,1980,3,23,25.1,1,0,0
ライト,490,8,7,6.7,1,1,0
プレミアム,1980,11,2,5.4,1,1,1
スタンダード,1480,6,10,14.9,1,1,0
プレミアム,1980,24,9,3.5,0,0,1
スタンダード,1480,8,20,41.7,1,1,0
ライト,490,18,8,15.5,2,0,0
ライト,490,11,23,16.6,1,0,0
プレミアム,1980,14,25,53.1,1,0,0
プレミアム,1980,9,12,3.0,1,1,1
プレミアム,1980,8,23,43.4,3,1,0
ライト,790,16,18,30.2,1,0,0
スタンダード,990,1,15,24.1,3,0,0
スタンダード,1480,11,8,22.7,1,0,1
ライト,790,2,0,5.0,2,0,0
プレミアム,1980,3,20,28.2,1,1,1
ライト,490,9,25,16.4,1,1,0
ライト,790,10,4,20.6,0,0,0
スタンダード,1480,6,9,14.3,1,0,0
ライト,490,16,26,55.8,1,1,0
プレミアム,1980,10,16,11.7,1,0,1
スタンダード,1480,8,5,14.1,2,0,0
スタンダード,1480,29,16,38.5,1,1,0
スタンダード,990,27,19,50.5,2,0,0
ライト,790,40,14,32.5,1,1,1
プレミアム,1980,5,23,53.2,0,0,0
ライト,490,1,22,31.9,2,0,0
スタンダード,1480,16,12,22.6,0,0,0
ライト,790,12,11,15.6,0,0,0
ライト,790,27,14,32.3,0,1,0
ライト,790,11,22,26.4,0,0,0
プレミアム,1980,13,18,56.4,3,0,0
ライト,790,11,2,7.3,0,0,0
ライト,790,6,13,8.9,0,1,0
スタンダード,990,10,19,35.0,1,0,0
スタンダード,1480,12,9,7.7,0,1,0
ライト,790,7,30,67.2,0,0,0
プレミアム,1980,9,8,10.2,2,0,1
ライト,490,10,11,10.9,1,1,1
スタンダード,990,18,2,7.4,1,0,1
ライト,790,12,6,13.5,2,1,1
ライト,790,2,10,7.2,3,0,1
ライト,790,12,9,18.4,1,0,0
スタンダード,990,18,1,4.9,0,0,0
ライト,790,19,14,16.6,3,0,0
ライト,790,21,11,17.0,0,0,0
ライト,490,21,1,5.2,2,1,1
スタンダード,1480,15,8,28.4,1,1,1
プレミアム,1980,14,19,24.4,1,1,0
スタンダード,990,23,25,30.9,2,1,0
スタンダード,1480,31,18,54.6,1,0,0
スタンダード,1480,21,0,0.0,1,0,1
スタンダード,1480,15,27,50.8,0,0,0
スタンダード,990,9,17,15.4,1,0,0
ライト,490,6,11,32.9,0,0,0
スタンダード,990,8,4,13.7,3,1,1
スタンダード,990,9,5,4.4,1,0,0
プレミアム,1980,5,9,23.6,2,1,1
プレミアム,1980,13,13,40.5,1,0,0
スタンダード,990,2,26,55.4,0,0,0
スタンダード,990,37,10,33.5,0,1,0
スタンダード,1480,24,0,3.1,0,1,1
プレミアム,1980,12,4,9.4,0,0,0
スタンダード,990,17,26,34.1,1,1,0
スタンダード,1480,3,14,23.9,1,0,0
ライト,790,11,14,43.1,1,0,0
ライト,790,21,7,12.7,1,1,0
スタンダード,990,28,12,10.3,1,0,0
スタンダード,990,26,27,53.2,1,0,0
スタンダード,1480,10,18,7.9,1,1,0
ライト,490,19,18,13.7,1,0,0
ライト,790,2,9,29.1,0,0,0
スタンダード,990,20,9,9.7,1,0,0
スタンダード,990,25,0,0.0,1,1,1
プレミアム,1980,17,6,6.9,0,1,0
プレミアム,1980,9,18,23.8,2,0,0
スタンダード,990,4,16,35.7,2,0,0
スタンダード,1480,31,24,24.0,1,1,0
ライト,490,23,20,44.8,1,0,0
ライト,790,10,14,24.1,1,0,0
スタンダード,990,9,11,3.8,2,1,0
ライト,490,1,17,34.6,2,0,0
ライト,490,7,11,4.8,2,1,1
ライト,790,4,14,16.3,1,1,0
スタンダード,1480,1,11,24.2,0,0,1
スタンダード,1480,23,14,46.5,1,1,0
プレミアム,1980,11,10,22.2,0,0,0
スタンダード,990,2,19,58.6,2,0,0
ライト,490,32,6,16.2,0,0,1
スタンダード,1480,5,25,83.4,3,1,0
ライト,490,10,11,13.2,0,0,0
ライト,790,38,11,16.1,0,1,0
ライト,490,9,11,10.6,0,0,0
スタンダード,990,1,8,1.6,1,0,0
ライト,790,20,2,3.6,2,0,0
スタンダード,1480,4,2,6.5,1,0,0
ライト,790,20,22,5.3,1,1,0
プレミアム,1980,5,2,5.0,2,1,0
ライト,790,24,0,1.7,1,1,1
ライト,490,17,9,23.6,1,1,0
スタンダード,990,3,19,48.3,0,1,0
ライト,490,18,18,18.8,1,0,0
プレミアム,1980,7,17,47.1,1,1,0
ライト,490,8,13,12.0,2,1,1
ライト,790,6,28,70.8,1,0,0
ライト,790,9,8,14.5,1,1,0
スタンダード,990,25,1,3.4,1,0,0
ライト,490,3,12,25.4,0,0,0
ライト,490,4,11,25.2,1,0,0
スタンダード,1480,37,17,31.7,0,0,0
プレミアム,1980,23,10,15.1,1,0,0
ライト,490,4,13,28.9,1,0,0
スタンダード,1480,6,0,1.4,1,0,1
スタンダード,990,23,24,45.2,0,0,0
スタンダード,1480,2,21,62.1,1,0,0
スタンダード,1480,1,7,16.4,0,1,0
スタンダード,1480,5,13,13.8,0,1,1
プレミアム,1980,18,7,11.5,1,0,0
ライト,790,23,23,8.6,0,0,0
スタンダード,990,14,2,0.0,1,1,1
プレミアム,1980,3,25,20.8,2,1,0
ライト,490,15,15,27.3,1,1,0
プレミアム,1980,8,7,11.8,1,0,0
スタンダード,1480,17,15,14.0,0,1,0
スタンダード,990,6,5,17.1,1,0,0
プレミアム,1980,23,30,50.9,1,0,0
ライト,490,20,11,34.3,0,0,0
ライト,490,2,12,2.2,1,0,1
ライト,790,23,1,5.7,0,1,1
スタンダード,990,12,9,22.0,0,0,0
ライト,490,3,7,13.8,1,1,0
ライト,490,30,27,53.6,0,0,0
プレミアム,1980,16,21,38.4,1,1,0
ライト,490,14,23,74.2,3,1,0
プレミアム,1980,35,25,43.1,2,1,0
スタンダード,990,16,13,29.0,1,0,1
スタンダード,1480,4,6,3.1,2,0,0
ライト,790,2,16,47.3,2,1,1
スタンダード,1480,10,10,21.6,0,0,1
スタンダード,990,14,24,25.0,1,1,0
プレミアム,1980,19,21,30.4,1,1,0
プレミアム,1980,6,8,17.5,1,1,1
ライト,790,4,0,2.5,0,1,0
ライト,490,18,22,37.7,2,0,0
プレミアム,1980,16,8,10.1,1,0,0
スタンダード,990,26,15,37.1,1,0,0
スタンダード,1480,16,12,18.1,1,0,0
スタンダード,1480,13,7,11.0,0,0,0
スタンダード,990,26,18,37.8,3,0,0
スタンダード,1480,6,17,23.1,2,0,0
ライト,790,25,14,25.1,1,0,0
ライト,790,16,12,24.3,0,1,0
プレミアム,1980,4,7,7.7,0,0,0
プレミアム,1980,12,0,0.0,1,0,1
スタンダード,990,7,25,53.4,1,1,0
スタンダード,1480,21,0,2.8,2,0,1
スタンダード,990,14,14,21.2,1,1,0
プレミアム,1980,12,21,12.7,1,1,0
スタンダード,1480,18,15,21.2,0,0,0
プレミアム,1980,5,15,28.3,1,0,0
ライト,490,19,5,15.8,1,1,1
スタンダード,990,14,21,40.4,0,0,0
ライト,790,5,20,34.5,1,0,0
ライト,790,18,14,18.5,1,0,0
プレミアム,1980,28,14,46.1,2,0,0
ライト,490,24,18,51.1,0,0,0
ライト,790,4,4,13.1,1,0,1
スタンダード,990,25,16,18.8,1,0,0
ライト,790,14,15,18.1,1,0,0
ライト,490,23,3,9.5,0,0,0
ライト,490,3,10,21.1,1,0,0
スタンダード,1480,16,13,28.7,1,0,0
スタンダード,990,8,11,8.9,1,1,0
スタンダード,990,7,30,75.4,2,0,0
スタンダード,990,2,10,22.4,3,0,0
スタンダード,1480,28,7,3.1,0,0,0
ライト,790,3,3,10.9,1,1,1
ライト,490,10,4,11.9,1,1,0
スタンダード,990,30,29,54.6,0,0,0
プレミアム,1980,6,20,10.4,1,0,0
スタンダード,1480,29,14,16.6,0,1,0
ライト,490,10,17,30.0,1,0,0
スタンダード,1480,7,19,23.3,1,0,0
プレミアム,1980,15,7,19.0,1,0,0
スタンダード,1480,15,10,10.5,2,1,1
プレミアム,1980,13,19,28.5,1,1,0
スタンダード,990,8,1,0.0,1,0,1
ライト,790,4,1,5.7,0,0,1
ライト,790,12,25,27.3,0,0,0
ライト,490,12,20,37.5,0,0,0
スタンダード,1480,22,12,18.1,0,0,0
スタンダード,990,7,25,15.3,0,0,0
スタンダード,1480,9,15,21.5,0,0,0
プレミアム,1980,9,14,28.2,1,1,0
スタンダード,990,6,22,53.6,0,0,0
ライト,490,18,12,22.1,0,0,0
スタンダード,1480,24,3,10.9,0,1,0
スタンダード,990,11,11,9.9,1,0,1
ライト,490,19,27,37.6,0,0,0
スタンダード,990,19,18,50.5,1,0,0
スタンダード,990,7,10,8.5,1,0,0
スタンダード,990,18,12,38.6,0,0,0
ライト,790,10,13,43.4,1,0,0
スタンダード,1480,17,17,30.7,0,0,0
ライト,490,26,15,11.6,0,0,0
スタンダード,990,14,4,7.6,0,0,0
スタンダード,990,24,4,9.9,2,1,1
ライト,490,3,11,9.9,2,0,0
プレミアム,1980,7,7,8.4,1,1,1
スタンダード,1480,4,9,15.6,1,0,0
プレミアム,1980,7,8,15.0,1,0,0
スタンダード,990,13,7,12.1,2,0,1
プレミアム,1980,28,14,28.2,0,0,0
ライト,790,2,14,22.2,0,0,0
プレミアム,1980,5,20,50.2,2,0,0
ライト,790,25,30,71.0,3,0,0
ライト,490,9,13,39.4,2,0,0
プレミアム,1980,9,30,56.4,1,0,0
スタンダード,990,18,30,68.1,1,1,0
ライト,490,2,10,29.2,3,0,0
ライト,490,31,7,30.9,1,1,0
ライト,790,8,12,19.2,2,0,0
ライト,490,19,13,29.7,0,0,0
プレミアム,1980,25,4,14.6,1,0,0
ライト,790,13,14,30.1,2,0,0
プレミアム,1980,3,28,29.2,0,0,0
プレミアム,1980,6,28,8.8,0,0,0
ライト,790,4,11,5.0,0,0,1
ライト,790,18,11,25.2,3,1,1
プレミアム,1980,43,12,24.2,1,0,0
プレミアム,1980,27,16,43.7,1,0,0
スタンダード,1480,12,7,9.8,0,1,1
プレミアム,1980,17,10,27.9,1,0,0
プレミアム,1980,23,21,48.6,0,0,0
プレミアム,1980,14,7,9.3,1,0,0
ライト,790,14,0,0.0,0,1,1
プレミアム,1980,1,14,21.2,1,1,0
スタンダード,1480,18,14,33.1,0,0,0
ライト,490,3,12,8.2,0,0,0
スタンダード,1480,26,19,35.3,2,0,0
ライト,790,12,18,41.2,2,0,0
スタンダード,1480,22,5,9.5,2,1,0
ライト,490,18,22,38.2,1,0,0
プレミアム,1980,28,13,30.1,3,1,1
ライト,790,8,12,22.2,1,1,0
プレミアム,1980,12,7,4.1,1,0,1
プレミアム,1980,3,21,30.3,0,0,0
スタンダード,1480,13,19,38.5,1,0,0
プレミアム,1980,14,7,13.9,2,0,0
スタンダード,1480,14,10,0.0,0,0,0
ライト,790,24,27,64.7,1,0,0
ライト,790,10,16,29.9,1,0,1
スタンダード,1480,17,9,21.2,0,0,0
プレミアム,1980,9,26,70.2,0,0,0
スタンダード,1480,8,12,12.4,1,1,0
スタンダード,1480,23,18,41.5,1,1,0
ライト,790,4,1,6.9,1,0,1
スタンダード,990,5,14,16.1,1,0,1
スタンダード,990,17,2,7.7,1,0,0
スタンダード,1480,1,4,12.1,2,0,1
スタンダード,990,4,11,17.8,2,0,0
スタンダード,990,15,12,28.1,2,1,0
スタンダード,990,15,20,25.5,3,0,0
ライト,490,12,16,23.7,1,1,0
プレミアム,1980,8,7,24.0,0,0,1
ライト,490,6,24,69.5,1,0,0
スタンダード,990,5,13,21.4,1,1,1
スタンダード,990,8,22,52.7,0,0,0
スタンダード,1480,12,12,20.8,0,1,0
スタンダード,1480,22,18,20.9,1,0,0
プレミアム,1980,18,14,13.5,1,0,0
スタンダード,1480,10,9,15.4,2,0,1
ライト,490,2,30,21.5,0,0,0
スタンダード,990,9,0,0.8,3,1,1
プレミアム,1980,6,16,55.5,1,1,0
スタンダード,990,6,8,17.4,1,0,0
ライト,790,11,3,4.2,0,0,0
ライト,490,19,15,26.0,1,0,0
スタンダード,1480,11,9,18.6,4,1,0
ライト,490,5,10,23.7,1,1,0
ライト,790,6,16,21.2,1,0,0
プレミアム,1980,26,18,49.8,1,1,0
ライト,490,13,16,43.0,0,1,0
スタンダード,990,8,22,52.0,0,0,0
プレミアム,1980,24,23,33.2,0,0,0
ライト,790,9,27,12.7,1,0,0
ライト,790,3,17,45.1,1,1,0
ライト,790,10,12,20.9,0,1,0
プレミアム,1980,24,6,9.7,1,1,1
ライト,490,12,7,14.2,1,0,0
スタンダード,1480,34,0,3.9,1,0,0
ライト,790,4,0,0.0,0,0,1
ライト,790,15,19,22.8,1,0,0
ライト,790,28,3,6.0,1,1,0
スタンダード,1480,9,6,18.1,0,0,0
ライト,490,17,2,2.5,2,1,0
スタンダード,1480,10,0,3.0,2,0,0
ライト,790,12,30,10.3,0,1,0
プレミアム,1980,20,7,10.6,0,0,0
ライト,790,2,16,35.9,2,1,0
ライト,490,12,11,25.6,1,0,0
スタンダード,1480,11,14,32.3,1,0,0
ライト,490,22,7,17.3,0,0,0
ライト,490,12,15,17.5,1,0,0
スタンダード,990,10,17,23.6,0,1,1
ライト,790,30,8,15.0,0,0,0
スタンダード,990,14,11,13.8,0,0,0
ライト,490,3,13,35.5,0,0,0
プレミアム,1980,21,18,29.7,2,0,1
スタンダード,1480,18,11,17.2,1,1,0
ライト,790,7,21,18.4,1,1,0
ライト,490,12,13,35.2,1,1,0
プレミアム,1980,5,14,34.1,1,1,0
ライト,490,5,0,1.9,2,0,1
スタンダード,990,6,10,19.1,1,0,0
プレミアム,1980,9,18,28.7,0,1,1
スタンダード,990,26,3,8.9,0,0,0
スタンダード,1480,4,16,34.7,1,0,0
スタンダード,990,21,14,7.4,0,0,1
スタンダード,990,16,30,48.4,4,0,0
