エリア,専有面積,築年数,駅徒歩分,所在階,駅乗降客数,成約価格
近郊（多摩・県境）,64.1,26,4,6,4.1,2180
近郊（多摩・県境）,50.0,16,1,5,4.8,2270
都心3区,49.1,39,1,5,24.2,6120
城東・城北,33.6,17,12,2,11.2,1740
城南・城西,33.2,33,4,7,8.3,2470
城東・城北,70.3,7,6,3,5.4,4020
城南・城西,45.5,7,3,13,10.3,4740
近郊（多摩・県境）,44.6,29,4,2,0.9,930
近郊（多摩・県境）,41.3,0,14,10,4.9,1720
城東・城北,31.2,11,1,9,5.3,2240
都心3区,76.5,27,1,5,27.2,9580
城東・城北,64.1,9,8,1,8.1,3080
城東・城北,42.5,8,3,6,4.0,3070
近郊（多摩・県境）,55.0,3,1,1,3.3,2870
都心3区,65.7,43,11,8,15.7,3850
城南・城西,29.4,7,7,5,15.6,2860
近郊（多摩・県境）,74.1,29,13,2,7.2,1600
城東・城北,92.4,2,1,2,8.5,9000
近郊（多摩・県境）,60.8,43,2,12,1.2,1710
都心3区,66.0,5,1,11,17.4,11920
近郊（多摩・県境）,66.0,3,3,7,1.1,2940
都心3区,73.7,8,10,9,31.4,7870
城東・城北,53.8,43,4,16,4.1,2590
城東・城北,40.7,10,9,6,13.4,2570
城南・城西,52.0,37,6,4,19.7,2620
城南・城西,55.6,6,13,6,15.4,4220
都心3区,65.1,35,9,1,29.4,4720
城東・城北,43.6,2,4,2,10.8,4350
城東・城北,63.5,5,6,5,5.7,4150
都心3区,57.7,9,1,4,21.8,9150
城東・城北,53.9,12,14,9,5.2,2060
近郊（多摩・県境）,61.7,41,5,13,6.6,2010
近郊（多摩・県境）,45.5,31,2,14,3.6,1840
城東・城北,28.0,20,2,3,7.4,1700
城東・城北,58.1,8,13,3,2.3,1880
近郊（多摩・県境）,81.1,14,4,5,5.3,3000
近郊（多摩・県境）,50.4,12,9,6,5.0,1850
城東・城北,73.6,4,3,4,8.7,5820
城南・城西,80.2,15,2,11,16.4,10010
近郊（多摩・県境）,41.5,12,2,12,5.7,1900
近郊（多摩・県境）,60.2,4,1,4,3.0,3000
城南・城西,80.1,11,4,9,7.5,5420
都心3区,57.0,11,1,2,12.3,5900
近郊（多摩・県境）,60.8,6,5,6,3.3,2390
城南・城西,40.6,45,8,6,20.1,2350
近郊（多摩・県境）,36.9,18,14,11,2.7,860
城南・城西,84.2,3,2,4,18.4,11990
城南・城西,59.3,6,2,12,9.3,6980
近郊（多摩・県境）,54.1,28,4,5,5.4,1650
城東・城北,56.1,11,1,5,7.3,4030
城南・城西,63.9,39,11,3,7.7,2310
城南・城西,53.3,2,5,1,18.6,7470
近郊（多摩・県境）,48.2,9,5,6,7.9,2450
城南・城西,68.1,4,6,1,21.7,7830
城東・城北,37.9,21,2,6,2.4,1880
城東・城北,46.4,15,1,6,8.0,3590
都心3区,60.7,7,5,2,29.2,9180
城東・城北,70.0,4,9,3,13.0,4350
城東・城北,51.4,11,3,9,4.0,2710
城東・城北,41.8,0,4,6,4.4,3710
城南・城西,51.0,3,13,7,10.3,3760
都心3区,74.4,3,12,2,20.5,6500
都心3区,34.1,7,11,7,20.6,3670
近郊（多摩・県境）,63.7,12,4,2,2.5,2180
城南・城西,69.0,10,6,12,17.2,5650
都心3区,47.8,6,10,13,27.3,6540
城東・城北,69.0,6,7,6,11.8,4590
城東・城北,50.3,9,1,3,9.1,3300
都心3区,72.2,6,9,1,17.5,6320
近郊（多摩・県境）,60.4,8,12,6,6.8,1830
城東・城北,44.2,8,3,1,3.7,2910
都心3区,36.2,13,2,2,14.4,4400
城東・城北,82.5,2,16,3,10.4,4040
都心3区,73.5,11,2,1,26.0,10690
近郊（多摩・県境）,48.5,22,3,9,2.4,1720
城東・城北,81.3,4,10,2,5.2,4360
城南・城西,59.0,26,16,9,12.1,2510
城南・城西,36.3,6,9,4,8.0,2800
城東・城北,34.3,3,4,6,4.1,2370
都心3区,48.2,11,10,3,18.9,4080
都心3区,29.5,24,6,18,12.5,2930
近郊（多摩・県境）,70.8,2,4,7,6.8,4030
城南・城西,52.6,3,9,12,18.9,5590
近郊（多摩・県境）,75.3,14,3,3,5.6,2950
城東・城北,61.8,1,10,2,8.7,3830
都心3区,45.7,3,3,7,12.9,6480
城南・城西,57.4,12,5,2,12.1,4810
城東・城北,65.1,28,5,15,10.6,3850
城南・城西,69.1,30,4,12,18.3,5750
城南・城西,62.5,29,16,5,13.3,2310
都心3区,59.8,9,1,3,31.8,9250
城南・城西,38.1,3,6,5,9.6,3320
近郊（多摩・県境）,64.0,2,3,8,1.4,2930
都心3区,74.4,29,7,6,26.1,4940
城東・城北,65.4,20,4,7,11.3,3950
城東・城北,38.4,8,5,9,2.9,2310
城南・城西,59.9,30,11,1,10.7,3020
近郊（多摩・県境）,37.0,9,2,15,6.4,2180
近郊（多摩・県境）,56.4,13,3,4,7.4,2250
都心3区,34.5,14,8,9,16.7,3120
城南・城西,71.4,43,9,4,9.2,3130
城東・城北,27.5,16,9,5,3.6,1140
城南・城西,78.0,4,6,15,14.2,9420
城南・城西,72.9,8,6,2,14.3,5700
都心3区,63.2,12,5,9,28.5,7860
城東・城北,73.2,23,5,7,9.3,3890
城南・城西,31.5,7,10,13,20.5,3100
近郊（多摩・県境）,43.1,43,2,11,6.6,1730
近郊（多摩・県境）,48.8,30,2,3,4.3,1740
城南・城西,40.8,2,11,1,7.8,3390
近郊（多摩・県境）,52.5,45,6,2,2.1,980
都心3区,66.4,13,5,4,20.2,7580
近郊（多摩・県境）,65.1,11,5,2,5.5,2660
城東・城北,59.6,9,4,10,4.6,3790
近郊（多摩・県境）,72.1,20,2,8,7.4,3090
城南・城西,44.2,23,1,6,18.6,4760
近郊（多摩・県境）,60.4,23,5,4,4.0,1670
城南・城西,53.1,4,16,6,16.2,3560
近郊（多摩・県境）,46.6,6,7,9,3.4,1870
近郊（多摩・県境）,42.8,28,8,6,5.9,1230
近郊（多摩・県境）,69.7,6,3,1,4.7,3070
城東・城北,32.8,30,2,2,8.5,1780
城東・城北,52.0,42,7,6,4.8,1630
城東・城北,36.0,39,1,6,7.5,1940
城東・城北,52.2,0,4,3,2.6,3540
近郊（多摩・県境）,46.2,34,2,7,7.7,1930
城南・城西,68.3,1,2,4,17.2,12030
近郊（多摩・県境）,54.3,4,2,7,7.6,3740
城南・城西,78.5,6,4,6,13.9,7070
近郊（多摩・県境）,68.8,8,2,5,5.3,3380
城東・城北,57.0,1,2,6,13.0,6760
近郊（多摩・県境）,50.2,19,1,6,2.3,1920
近郊（多摩・県境）,72.7,39,8,4,6.1,1800
近郊（多摩・県境）,45.2,0,6,4,5.4,2700
近郊（多摩・県境）,54.7,12,1,4,6.8,2720
近郊（多摩・県境）,53.0,4,4,5,5.9,2930
都心3区,54.6,5,1,4,30.4,11920
城南・城西,58.9,8,7,12,20.1,6480
近郊（多摩・県境）,60.0,20,3,7,2.6,1990
近郊（多摩・県境）,53.5,20,3,4,7.1,2210
城南・城西,34.3,4,1,9,15.9,6240
城南・城西,46.3,12,5,11,10.3,3540
城南・城西,56.5,8,10,1,17.2,4030
城東・城北,69.8,2,3,3,5.0,5700
近郊（多摩・県境）,77.0,10,11,8,7.8,2700
城東・城北,44.1,9,9,3,11.6,2390
近郊（多摩・県境）,59.1,11,6,3,6.3,2040
城南・城西,76.8,37,5,4,6.6,3420
城南・城西,73.3,26,1,2,10.2,5270
近郊（多摩・県境）,54.7,0,12,13,6.7,3260
近郊（多摩・県境）,73.9,9,3,3,5.1,3460
城東・城北,64.0,4,18,5,6.5,2290
城南・城西,76.4,1,5,1,13.3,7780
近郊（多摩・県境）,71.8,12,9,1,4.7,1680
城南・城西,81.9,26,7,11,19.1,5680
都心3区,57.6,1,2,6,20.6,10390
城東・城北,41.8,39,3,5,2.2,1360
城東・城北,66.5,2,3,5,4.2,5300
城南・城西,22.0,23,2,4,15.9,2580
近郊（多摩・県境）,50.4,13,3,8,4.0,2280
近郊（多摩・県境）,49.0,7,14,3,0.8,1090
城東・城北,43.6,4,2,6,7.5,3770
近郊（多摩・県境）,68.3,10,9,4,7.1,2310
近郊（多摩・県境）,57.6,43,1,6,5.0,2070
城東・城北,47.3,4,5,4,7.7,4080
城東・城北,60.7,2,1,7,13.8,5950
近郊（多摩・県境）,71.5,18,6,2,2.0,1700
城東・城北,45.0,9,1,2,8.8,3540
近郊（多摩・県境）,44.6,15,1,8,2.6,1920
近郊（多摩・県境）,67.8,9,5,8,2.6,2670
城南・城西,55.8,11,11,5,20.5,4150
都心3区,49.4,28,3,3,32.7,5760
城南・城西,57.5,6,9,1,21.7,4830
城南・城西,39.1,20,1,5,13.2,3570
城南・城西,45.5,4,1,2,20.3,6310
城東・城北,75.6,24,2,2,6.6,3790
都心3区,59.2,5,8,2,13.5,5870
城東・城北,32.9,8,10,5,10.0,2010
近郊（多摩・県境）,49.3,23,10,16,0.7,1160
近郊（多摩・県境）,84.4,17,4,12,1.4,2650
近郊（多摩・県境）,56.8,5,6,5,2.6,2250
城東・城北,27.4,42,4,6,4.8,1080
城東・城北,68.0,30,6,6,4.5,2810
都心3区,52.8,25,15,7,16.0,2880
都心3区,50.3,0,2,6,25.2,15940
城東・城北,46.6,9,1,2,13.8,4310
城南・城西,50.3,0,5,6,18.9,9020
近郊（多摩・県境）,80.8,3,8,8,6.3,3310
城東・城北,53.0,10,17,1,5.8,1670
城南・城西,81.4,28,8,4,9.2,3970
城南・城西,48.8,29,4,13,19.8,4990
城南・城西,73.3,30,10,7,18.5,4520
城南・城西,99.5,10,1,3,6.9,6770
都心3区,38.8,23,4,6,24.8,6000
城東・城北,62.2,7,10,7,6.2,3120
近郊（多摩・県境）,45.2,1,7,2,4.5,2240
城東・城北,61.1,11,3,6,11.5,4280
都心3区,46.6,3,2,1,32.7,9510
城南・城西,47.3,34,2,4,20.2,4920
城南・城西,62.5,20,8,1,5.9,3600
近郊（多摩・県境）,72.1,0,4,6,6.8,5250
城東・城北,46.6,11,7,9,6.9,2900
城東・城北,46.3,6,1,7,2.3,3150
城南・城西,22.0,29,1,2,8.1,1730
近郊（多摩・県境）,75.3,30,4,5,7.4,2430
近郊（多摩・県境）,50.5,3,16,7,6.7,1500
城東・城北,54.2,7,2,9,12.9,5370
近郊（多摩・県境）,49.0,12,8,11,7.7,1990
城南・城西,49.2,35,9,13,21.8,3420
近郊（多摩・県境）,80.2,4,6,3,3.4,2790
城南・城西,49.9,9,7,2,12.5,4210
城南・城西,59.9,10,4,6,20.7,6630
近郊（多摩・県境）,66.9,6,3,6,4.6,3350
近郊（多摩・県境）,42.5,13,9,11,2.9,1170
城南・城西,73.9,5,5,7,13.2,6970
城南・城西,45.6,42,7,11,15.2,2860
城東・城北,55.6,7,3,5,8.1,4450
城南・城西,66.2,17,5,6,12.8,5060
近郊（多摩・県境）,77.6,27,11,7,5.1,1880
城南・城西,57.8,7,5,4,17.4,6900
近郊（多摩・県境）,56.7,0,8,1,5.2,2750
近郊（多摩・県境）,56.4,0,1,5,0.8,2980
城東・城北,59.0,8,3,11,13.0,4900
都心3区,55.4,3,4,11,25.5,12440
近郊（多摩・県境）,54.1,41,9,2,3.7,1160
城南・城西,75.7,12,7,3,16.3,5240
城東・城北,62.5,2,5,5,10.6,4780
城東・城北,60.6,10,9,2,5.2,2610
城東・城北,51.3,27,8,3,13.7,2710
城南・城西,52.9,31,10,4,11.2,2320
城東・城北,52.8,10,2,6,6.3,3710
近郊（多摩・県境）,48.3,33,5,7,4.2,1400
近郊（多摩・県境）,72.1,0,5,7,4.8,3460
近郊（多摩・県境）,60.1,25,4,7,0.7,1640
城南・城西,62.1,2,3,6,21.3,9980
城南・城西,78.0,30,2,3,11.8,6440
城東・城北,75.3,6,13,3,10.0,3430
城南・城西,67.5,30,1,12,15.3,6060
近郊（多摩・県境）,56.2,24,5,12,4.1,1930
近郊（多摩・県境）,59.5,0,4,11,4.0,3280
近郊（多摩・県境）,49.8,23,3,7,0.8,1650
城東・城北,72.3,15,3,2,7.6,4310
近郊（多摩・県境）,65.2,1,10,11,2.0,2580
城南・城西,40.9,16,13,4,11.4,2690
都心3区,61.1,33,2,3,28.9,6880
城南・城西,39.3,2,15,6,9.3,2430
近郊（多摩・県境）,51.1,1,3,4,8.0,3570
城南・城西,73.5,0,12,4,13.6,5450
城東・城北,22.0,5,6,3,9.3,2160
都心3区,69.1,22,9,6,17.0,5360
近郊（多摩・県境）,84.9,27,21,11,5.4,1250
都心3区,57.6,37,4,10,22.3,6160
近郊（多摩・県境）,60.7,11,4,6,7.7,3340
城東・城北,55.9,26,1,8,3.8,2770
城東・城北,45.9,25,1,5,9.0,2800
城南・城西,40.0,36,8,9,15.7,2500
城東・城北,54.1,23,8,15,2.7,1920
城東・城北,49.4,4,7,4,5.9,2910
近郊（多摩・県境）,52.0,4,13,12,5.7,2090
城東・城北,51.2,8,4,9,2.7,2860
近郊（多摩・県境）,54.5,3,8,9,7.8,2890
城東・城北,63.9,10,11,4,11.4,3280
城東・城北,26.4,9,3,6,12.0,2370
城東・城北,64.0,1,8,1,2.2,3410
都心3区,62.2,2,5,3,12.5,7700
城東・城北,77.7,3,3,12,8.8,8060
城東・城北,52.2,18,4,14,3.5,2760
城南・城西,85.6,4,3,8,9.0,8700
都心3区,44.6,14,15,9,16.7,4160
近郊（多摩・県境）,49.2,9,6,7,4.7,2070
城東・城北,33.6,25,5,7,6.4,1700
近郊（多摩・県境）,57.9,7,8,4,2.7,2050
近郊（多摩・県境）,42.7,7,1,5,7.0,2480
都心3区,74.9,6,2,6,33.7,14960
城東・城北,80.7,11,9,9,8.2,3640
城南・城西,76.5,1,4,3,19.0,12250
近郊（多摩・県境）,52.6,12,8,6,1.7,1570
城東・城北,32.0,14,5,7,5.7,1870
近郊（多摩・県境）,56.9,2,7,1,3.5,2080
近郊（多摩・県境）,83.8,11,4,1,0.9,2410
近郊（多摩・県境）,74.9,0,4,12,0.7,3290
城東・城北,81.6,29,1,4,3.4,4000
城東・城北,57.7,25,3,2,5.1,2640
近郊（多摩・県境）,60.7,11,1,1,1.5,2020
城東・城北,61.3,9,3,4,4.5,3590
城東・城北,38.7,12,3,10,3.5,2190
城東・城北,55.3,31,7,13,9.0,2660
城東・城北,82.4,9,1,10,4.3,5520
城東・城北,45.4,22,2,2,9.2,2660
近郊（多摩・県境）,37.6,30,15,3,7.5,1030
近郊（多摩・県境）,58.6,16,1,7,2.3,2070
城東・城北,22.5,9,11,5,13.1,1290
城南・城西,44.3,7,8,5,19.7,4300
近郊（多摩・県境）,54.9,7,8,3,3.7,1970
近郊（多摩・県境）,46.8,14,3,7,6.6,2320
城東・城北,60.1,11,4,2,12.0,3830
城南・城西,45.1,32,6,9,5.2,2360
城東・城北,51.6,26,7,12,4.1,2100
城南・城西,30.9,2,9,3,14.7,3270
城南・城西,45.7,8,4,1,6.0,3670
城南・城西,73.2,22,9,3,11.1,4370
城東・城北,46.7,13,6,1,5.8,2380
城南・城西,46.1,1,4,4,20.7,6810
近郊（多摩・県境）,56.0,4,5,3,7.4,3230
城東・城北,64.2,7,7,6,3.7,3310
都心3区,56.2,7,3,6,21.1,10020
城東・城北,91.0,27,11,2,11.1,3350
城南・城西,57.2,12,1,4,8.2,5130
近郊（多摩・県境）,70.2,9,16,5,4.6,1480
城東・城北,63.1,27,2,4,12.6,3680
近郊（多摩・県境）,53.4,0,15,7,5.5,1810
近郊（多摩・県境）,51.8,21,10,3,3.6,1550
都心3区,54.6,10,4,7,24.8,7530
城南・城西,49.7,12,6,9,7.7,3380
城東・城北,77.2,35,1,3,3.7,3240
近郊（多摩・県境）,39.9,23,3,1,5.1,1520
城東・城北,71.8,7,10,14,7.9,3650
城南・城西,45.9,27,3,3,7.1,3070
近郊（多摩・県境）,49.3,20,7,2,3.5,1570
都心3区,51.1,12,13,6,17.0,4050
城東・城北,54.2,5,2,7,4.2,5250
都心3区,73.8,8,2,4,22.9,11230
城東・城北,52.3,6,5,8,7.3,3020
城東・城北,46.9,0,5,7,8.2,4070
近郊（多摩・県境）,42.1,41,2,1,5.6,1450
近郊（多摩・県境）,58.2,5,4,2,6.7,2830
城東・城北,35.5,12,10,5,13.7,2000
近郊（多摩・県境）,38.4,30,3,2,7.6,1730
近郊（多摩・県境）,36.6,0,2,3,2.9,2060
城南・城西,61.1,6,2,4,12.0,6930
城南・城西,57.8,30,3,1,12.0,4240
城南・城西,54.5,9,4,23,15.3,8130
都心3区,42.8,11,5,6,19.3,6050
近郊（多摩・県境）,51.8,15,1,1,3.1,1880
城東・城北,40.2,17,3,4,8.6,2860
城東・城北,50.0,18,11,9,13.9,2680
城南・城西,22.1,0,7,2,9.0,3030
城東・城北,50.9,12,3,1,14.0,3050
城南・城西,46.2,2,5,7,19.8,6250
城南・城西,57.8,9,1,4,13.7,6510
城南・城西,63.4,32,1,10,21.8,6730
城東・城北,53.1,26,6,7,5.5,2330
城東・城北,57.0,28,2,11,2.6,2290
城東・城北,34.0,19,6,6,12.2,2150
近郊（多摩・県境）,91.8,11,3,1,2.9,2850
近郊（多摩・県境）,42.1,25,4,2,1.3,1210
城東・城北,56.8,7,2,4,2.2,3550
城東・城北,62.7,6,7,10,7.6,4160
城東・城北,70.5,3,3,6,9.2,6470
都心3区,59.7,36,2,1,33.6,6380
城南・城西,59.8,3,4,6,10.5,6360
城東・城北,38.5,0,2,9,11.4,5060
都心3区,54.7,36,9,3,26.2,3660
城東・城北,52.7,5,10,10,2.5,2570
城南・城西,34.1,5,5,9,6.6,2820
近郊（多摩・県境）,29.9,3,3,4,7.8,2300
城東・城北,44.7,6,4,3,10.0,3630
近郊（多摩・県境）,61.7,9,9,1,4.2,1960
城南・城西,51.3,7,1,6,12.3,6640
都心3区,55.4,7,2,9,26.8,11440
城東・城北,76.4,3,7,11,4.5,4700
近郊（多摩・県境）,59.0,24,4,5,7.1,2040
近郊（多摩・県境）,57.0,9,10,4,8.0,2170
城南・城西,53.4,1,7,7,17.8,6140
都心3区,80.2,5,1,5,17.0,13750
近郊（多摩・県境）,44.6,39,8,1,4.8,960
近郊（多摩・県境）,44.0,26,1,6,1.7,1620
近郊（多摩・県境）,37.8,7,5,11,7.7,1850
近郊（多摩・県境）,56.6,7,2,6,0.9,1800
都心3区,54.4,26,9,1,31.5,4070
近郊（多摩・県境）,44.7,26,3,3,5.5,1440
城南・城西,42.1,17,8,6,9.6,3070
城南・城西,65.0,2,4,1,14.1,7720
都心3区,47.0,10,2,1,27.6,7660
城南・城西,35.9,42,5,8,5.1,1920
城南・城西,74.6,6,4,3,14.0,8130
都心3区,50.5,8,3,5,13.1,5940
城東・城北,74.5,7,11,5,4.1,3190
近郊（多摩・県境）,90.3,26,7,14,6.7,2770
城東・城北,90.9,33,6,4,3.6,2940
城南・城西,65.0,35,1,6,14.5,4360
近郊（多摩・県境）,23.6,28,1,7,3.0,960
城南・城西,37.8,10,4,6,9.4,3170
城南・城西,75.6,20,7,7,14.9,6010
城東・城北,68.8,4,3,8,12.5,6560
城東・城北,48.2,25,12,10,11.7,1930
城南・城西,57.8,9,7,8,13.2,4780
城南・城西,73.5,35,2,8,14.0,5640
城東・城北,53.3,10,10,2,12.2,2670
都心3区,50.8,0,7,2,28.4,8820
城東・城北,40.7,7,4,1,3.3,2290
城南・城西,81.8,8,5,5,12.2,6130
城東・城北,86.6,25,1,6,8.3,5660
城南・城西,38.6,43,14,4,15.2,1680
城南・城西,48.8,28,7,2,17.3,3040
城東・城北,56.0,1,4,3,12.5,5390
近郊（多摩・県境）,46.1,13,3,8,1.0,1430
近郊（多摩・県境）,82.0,3,1,4,6.2,5260
都心3区,67.7,24,4,1,12.3,5380
城南・城西,59.9,38,2,6,8.0,4320
城南・城西,36.3,27,8,2,21.9,2640
都心3区,58.3,0,7,2,14.2,7310
城南・城西,52.9,7,6,4,9.8,4640
近郊（多摩・県境）,53.3,4,4,3,3.5,2740
城南・城西,51.0,42,5,4,9.6,2620
近郊（多摩・県境）,54.6,40,4,5,6.3,1820
近郊（多摩・県境）,51.1,1,4,5,0.7,2140
城東・城北,67.9,37,3,3,12.8,3330
都心3区,48.6,4,4,3,28.5,9190
城南・城西,64.3,8,3,2,18.3,7140
城南・城西,44.6,25,7,10,14.7,2700
都心3区,69.8,31,8,1,24.5,4930
近郊（多摩・県境）,58.9,38,6,3,7.7,1740
城東・城北,51.7,12,6,5,3.4,2400
城南・城西,65.6,17,5,4,12.0,5270
城南・城西,70.7,2,2,7,10.5,8240
都心3区,86.1,9,2,5,34.6,11660
近郊（多摩・県境）,52.9,4,3,5,7.2,3100
近郊（多摩・県境）,84.3,24,10,1,5.8,1770
城東・城北,61.8,11,1,3,3.5,3880
都心3区,44.1,33,5,1,20.1,4080
近郊（多摩・県境）,35.4,1,6,10,1.7,1660
都心3区,67.2,9,2,6,28.9,10290
都心3区,24.5,43,6,9,21.1,2350
城南・城西,63.6,24,3,9,13.2,4870
城南・城西,63.3,20,6,6,13.9,4560
城東・城北,24.6,29,13,5,10.6,1150
都心3区,75.9,12,8,1,27.3,6580
都心3区,35.6,9,1,5,12.7,4290
近郊（多摩・県境）,57.6,0,4,10,2.9,3280
都心3区,47.7,20,4,3,12.7,4180
近郊（多摩・県境）,60.4,9,3,1,4.6,2600
近郊（多摩・県境）,53.4,3,7,2,5.8,2560
城東・城北,50.5,7,5,2,7.9,3410
城南・城西,90.0,14,3,6,13.3,7150
城東・城北,44.0,18,2,7,5.9,2670
城南・城西,57.6,42,2,4,17.3,4250
近郊（多摩・県境）,55.2,2,11,2,4.3,1850
近郊（多摩・県境）,56.9,19,6,3,6.4,2380
都心3区,40.8,7,3,3,24.4,6720
都心3区,72.1,10,8,2,23.0,7350
近郊（多摩・県境）,22.0,2,7,4,2.6,1100
城南・城西,90.7,27,12,7,21.6,4850
城南・城西,83.6,22,1,4,12.7,5880
城東・城北,36.0,9,1,1,11.5,2790
都心3区,69.8,22,9,15,20.1,5720
城南・城西,38.3,6,8,17,5.4,2760
城南・城西,79.4,3,3,5,18.8,10950
城南・城西,50.0,9,3,4,20.2,7190
城東・城北,54.2,31,1,5,8.5,2990
城東・城北,62.5,9,2,5,5.7,4430
城東・城北,37.4,18,8,7,6.7,1930
都心3区,34.2,27,1,1,29.3,5050
城東・城北,45.1,28,5,8,5.6,2130
都心3区,40.2,24,2,6,22.7,6220
城南・城西,81.4,29,9,6,12.8,4380
近郊（多摩・県境）,83.3,6,10,4,2.1,2400
都心3区,30.3,2,7,3,32.9,5570
都心3区,58.4,42,8,14,32.5,4240
都心3区,70.0,4,16,6,33.9,5410
近郊（多摩・県境）,65.2,11,8,1,4.0,2020
都心3区,44.4,33,6,9,14.0,3800
城南・城西,58.7,30,5,5,19.8,4790
城東・城北,74.2,12,3,1,2.7,3420
都心3区,61.8,11,1,9,29.1,9370
城東・城北,51.6,36,1,6,8.2,3110
近郊（多摩・県境）,94.0,11,14,6,4.4,2020
城南・城西,66.3,7,12,13,11.8,4830
城東・城北,68.5,5,5,5,5.4,3930
城東・城北,54.6,6,7,2,13.9,4220
城東・城北,86.1,1,2,7,8.0,8340
城東・城北,57.2,12,6,11,6.6,3360
都心3区,58.2,6,5,1,15.3,7300
城東・城北,59.4,8,1,9,11.9,4770
都心3区,77.1,24,5,2,28.6,8090
城東・城北,84.4,18,11,5,9.0,3500
城東・城北,45.3,9,6,1,7.9,2630
城南・城西,73.7,6,5,5,6.0,6090
城東・城北,56.5,12,8,7,12.3,3660
都心3区,45.2,40,2,2,26.5,4720
城東・城北,66.4,12,7,12,4.9,3250
城東・城北,46.4,10,12,8,5.2,1890
近郊（多摩・県境）,42.8,14,4,5,5.7,1810
都心3区,47.1,10,6,4,21.0,4840
城南・城西,61.5,3,7,8,9.8,5890
城南・城西,65.6,11,2,14,9.3,5900
近郊（多摩・県境）,67.6,9,3,3,6.7,3060
城東・城北,40.9,27,6,2,4.5,1720
城南・城西,58.7,4,5,10,5.2,5260
城南・城西,47.6,4,4,3,6.9,4580
城東・城北,91.2,1,5,3,10.3,7560
城南・城西,45.3,30,10,5,19.7,2700
城東・城北,22.0,3,8,5,9.7,2170
城東・城北,78.7,1,3,7,4.7,6550
近郊（多摩・県境）,66.0,2,1,9,6.7,4450
都心3区,32.5,23,5,17,12.4,3340
城東・城北,71.9,12,1,3,4.6,3850
城南・城西,39.2,7,1,4,19.5,5360
城東・城北,46.9,4,8,3,12.4,4220
近郊（多摩・県境）,52.4,3,2,9,5.4,2850
城南・城西,73.2,24,7,3,21.5,4790
城南・城西,50.1,0,12,7,15.0,4270
近郊（多摩・県境）,67.1,18,7,1,6.4,1900
城東・城北,53.0,43,12,18,7.3,1780
近郊（多摩・県境）,53.2,15,6,1,3.0,1560
城東・城北,49.6,0,2,10,4.9,4220
城東・城北,68.2,22,12,4,8.7,2410
都心3区,66.5,11,2,8,22.4,10850
城南・城西,48.8,7,1,1,21.8,7080
城南・城西,27.1,3,5,1,5.7,2890
城東・城北,38.5,7,5,7,12.1,3290
都心3区,92.2,14,13,1,27.5,6040
城南・城西,82.2,1,1,3,19.2,14220
近郊（多摩・県境）,85.6,4,1,2,5.9,4350
近郊（多摩・県境）,47.4,21,7,1,0.6,990
城南・城西,64.0,24,6,4,11.3,3880
近郊（多摩・県境）,58.0,29,17,1,4.4,1200
城南・城西,68.4,31,2,3,14.1,5390
城東・城北,50.8,4,5,3,2.1,2960
近郊（多摩・県境）,88.1,3,9,3,7.0,4090
都心3区,63.3,45,3,13,31.1,6760
城東・城北,36.8,20,1,8,3.0,1890
都心3区,54.6,11,5,6,21.8,7810
城南・城西,65.6,6,5,17,17.9,11080
都心3区,22.0,26,1,2,32.6,3720
城南・城西,61.3,27,4,4,13.3,4110
近郊（多摩・県境）,59.9,44,8,16,1.9,1370
近郊（多摩・県境）,61.7,4,3,8,1.4,2720
近郊（多摩・県境）,76.5,26,3,5,2.6,2470
城南・城西,44.5,4,10,8,17.0,4200
近郊（多摩・県境）,59.2,42,5,5,3.8,1630
城東・城北,37.1,1,6,1,12.0,3480
城東・城北,74.9,0,2,4,3.6,6000
城東・城北,37.8,0,6,8,12.0,3310
城東・城北,53.1,20,9,10,9.3,2680
都心3区,41.1,23,8,3,29.2,3710
都心3区,28.5,37,7,1,22.6,2050
城南・城西,77.8,0,8,13,12.6,8690
城東・城北,70.4,6,10,6,6.4,3910
城南・城西,71.4,7,2,6,8.3,6720
都心3区,51.5,10,8,2,20.6,4990
城東・城北,59.7,1,7,6,2.3,3300
近郊（多摩・県境）,64.2,18,11,3,0.9,1290
都心3区,54.6,10,7,15,33.5,6790
近郊（多摩・県境）,67.1,37,8,5,5.9,1600
城東・城北,56.0,25,6,3,11.0,2910
都心3区,22.0,8,7,5,25.3,2980
近郊（多摩・県境）,85.6,2,5,3,5.7,4580
城南・城西,97.4,43,6,7,18.8,6050
城南・城西,64.7,2,3,1,10.4,6050
近郊（多摩・県境）,29.4,5,3,5,5.8,1650
近郊（多摩・県境）,63.2,19,2,11,4.9,2820
城南・城西,62.8,30,5,8,7.7,3920
近郊（多摩・県境）,68.8,8,1,2,4.8,3160
都心3区,35.1,11,16,10,19.5,2790
近郊（多摩・県境）,62.8,2,1,3,6.4,3640
近郊（多摩・県境）,62.4,10,3,5,5.8,2670
城南・城西,85.3,26,6,8,6.6,4470
近郊（多摩・県境）,31.2,18,13,10,7.3,1040
近郊（多摩・県境）,56.8,43,2,1,1.7,1440
近郊（多摩・県境）,69.6,10,12,14,7.7,2360
近郊（多摩・県境）,47.9,6,8,2,7.8,2090
近郊（多摩・県境）,56.2,7,2,1,2.4,2470
城南・城西,72.1,9,1,13,21.3,11930
城南・城西,45.8,4,3,8,12.4,5970
城南・城西,50.1,11,9,3,18.6,3590
城南・城西,57.5,1,1,2,15.2,11150
